,Name,County,Acres,Start Date,Containment Date,Year,Number of days the fire was on
202,Mud,Lassen,6042,29-Aug-17,1-Sep-17,2017,3
203,Slinkard,Mono,8925,29-Aug-17,12-Sep-17,2017,14
204,Helena,Trinity,21846,30-Aug-17,15-Nov-17,2017,77
205,Rouse,Riverside,14,30-Aug-17,30-Aug-17,2017,0
206,La Tuna,Los Angeles,7194,1-Sep-17,9-Sep-17,2017,8
207,Palmer,Riverside,3874,2-Sep-17,6-Sep-17,2017,4
208,Mission,Madera,1035,3-Sep-17,13-Sep-17,2017,10
209,Buck,Trinity,13417,12-Sep-17,20-Nov-17,2017,69
210,Lion,Tulare,18900,24-Sep-17,2-Dec-17,2017,69
211,Canyon,Riverside,2662,25-Sep-17,4-Oct-17,2017,9
212,Cherokee,Butte,8417,8-Oct-17,16-Oct-17,2017,8
213,Atlas,Napa/Solano,51624,8-Oct-17,31-Oct-17,2017,23
214,Tubbs,Napa/Sonoma,36807,8-Oct-17,31-Oct-17,2017,23
215,Nuns,Sonoma,56556,8-Oct-17,30-Oct-17,2017,22
216,Redwood Valley Complex,Mendocino,36523,8-Oct-17,28-Oct-17,2017,20
217,La Porte,Butte,6151,9-Oct-17,18-Oct-17,2017,9
218,Cascade,Yuba,9989,9-Oct-17,18-Oct-17,2017,9
219,Sulphur,Lake,2207,9-Oct-17,26-Oct-17,2017,17
220,Canyon 2,Orange,9217,9-Oct-17,18-Oct-17,2017,9
221,37,Sonoma,1660,9-Oct-17,13-Oct-17,2017,4
222,Pocket,Sonoma,17357,9-Oct-17,31-Oct-17,2017,22
223,Lobo,Nevada,821,9-Oct-17,18-Oct-17,2017,9
224,Bear,Santa Cruz,391,16-Oct-17,27-Oct-17,2017,11
225,Buffalo Fire,San Diego,1088,17-Oct-17,14-Nov-17,2017,28
226,Tank,Kern,50,25-Oct-17,27-Oct-17,2017,2
227,Wildomar,Riverside,866,27-Oct-17,29-Oct-17,2017,2
228,Thomas,Ventura/Santa Barbara,281893,4-Dec-17,12-Jan-18,2017,39
229,Creek,Los Angeles,15619,5-Dec-17,9-Jan-18,2017,35
230,Rye,Los Angeles,6049,5-Dec-17,12-Dec-17,2017,7
231,Little Mountain,San Bernardino,260,5-Dec-17,7-Dec-17,2017,2
232,Skirball,Los Angeles,422,6-Dec-17,15-Dec-17,2017,9
233,Lilac,San Diego,4100,7-Dec-17,16-Dec-17,2017,9
234,Liberty,Riverside,300,7-Dec-17,9-Dec-17,2017,2
235,Range 219,San Diego,100,15-Dec-17,15-Dec-17,2017,0
236,Pleasant,Inyo,2070,18-Feb-18,3-Apr-18,2018,44
237,Moffat,Inyo,1265,19-Apr-18,21-May-18,2018,32
238,Nees,Merced,1756,2-May-18,17-May-18,2018,15
239,Patterson,Riverside,1261,17-May-18,21-May-18,2018,4
240,Panoche,San Benito,64,4-Jun-18,7-Jun-18,2018,3
241,Stone,Los Angeles,1352,4-Jun-18,13-Jun-18,2018,9
242,Airline,San Benito,1314,4-Jun-18,14-Jun-18,2018,10
243,Apple,Tehama,2956,9-Jun-18,14-Jun-18,2018,5
244,Chrome,Glenn,2290,9-Jun-18,21-Jun-18,2018,12
246,Planada,Merced,4564,15-Jun-18,21-Jun-18,2018,6
247,Yankee,San Luis Obispo,1500,20-Jun-18,1-Jul-18,2018,11
248,Lane,Tehama,3716,23-Jun-18,4-Jul-18,2018,11
249,Pawnee,Lake,15185,23-Jun-18,8-Jul-18,2018,15
250,Creek,Madera,1678,24-Jun-18,5-Jul-18,2018,11
251,Waverly,San Joaquin,12300,29-Jun-18,2-Jul-18,2018,3
252,County,"Lake, Napa, Yolo",90288,30-Jun-18,14-Jul-18,2018,14
253,Klamathon,Siskiyou,38008,5-Jul-18,16-Jul-18,2018,11
254,Valley,San Bernardino,1350,6-Jul-18,24-Jul-18,2018,18
255,Holiday,Santa Barbara,113,6-Jul-18,11-Jul-18,2018,5
256,Pendleton Complex,San Diego,1800,6-Jul-18,11-Jul-18,2018,5
257,West,San Diego,504,6-Jul-18,11-Jul-18,2018,5
258,Georges,Inyo,2883,8-Jul-18,16-Jul-18,2018,8
259,Ferguson,Mariposa,96901,13-Jul-18,18-Aug-18,2018,36
260,Eagle,Modoc,2100,13-Jul-18,17-Jul-18,2018,4
263,Cranston,Riverside,13139,26-Jul-18,10-Aug-18,2018,15
265,Whaleback,Lassen,18703,27-Jul-18,7-Aug-18,2018,11
266,Butte,Sutter,1200,31-Jul-18,3-Aug-18,2018,3
268,Tarina,Kern,2950,3-Aug-18,6-Aug-18,2018,3
269,Pendleton,San Diego,1000,5-Aug-18,6-Aug-18,2018,1
270,Turkey,Monterey,2225,6-Aug-18,6-Aug-18,2018,0
272,Five,Kings,2995,6-Aug-18,8-Aug-18,2018,2
273,Hat,Shasta,1900,9-Aug-18,16-Aug-18,2018,7
274,Nelson,Solano,2162,10-Aug-18,12-Aug-18,2018,2
